Type | Size | Algorithm | Time (ms)
--------------------------------------------------
random | 1000 | Insertion Sort | 28.301 ms
random | 1000 | Merge Sort | 2.788 ms
random | 1000 | Quick Sort | 1.79 ms
sorted | 1000 | Insertion Sort | 0.136 ms
sorted | 1000 | Merge Sort | 1.701 ms
sorted | 1000 | Quick Sort | 1.526 ms
reverse | 1000 | Insertion Sort | 54.71 ms
reverse | 1000 | Merge Sort | 2.106 ms
reverse | 1000 | Quick Sort | 2.352 ms
random | 5000 | Insertion Sort | 710.311 ms
random | 5000 | Merge Sort | 13.799 ms
random | 5000 | Quick Sort | 12.701 ms
sorted | 5000 | Insertion Sort | 0.853 ms
sorted | 5000 | Merge Sort | 9.266 ms
sorted | 5000 | Quick Sort | 9.746 ms
reverse | 5000 | Insertion Sort | 1421.568 ms
reverse | 5000 | Merge Sort | 11.362 ms
reverse | 5000 | Quick Sort | 13.362 ms
random | 10000 | Insertion Sort | 3049.126 ms
random | 10000 | Merge Sort | 35.256 ms
random | 10000 | Quick Sort | 22.334 ms
sorted | 10000 | Insertion Sort | 1.444 ms
sorted | 10000 | Merge Sort | 20.533 ms
sorted | 10000 | Quick Sort | 21.379 ms
reverse | 10000 | Insertion Sort | 6658.911 ms
reverse | 10000 | Merge Sort | 24.752 ms
reverse | 10000 | Quick Sort | 22.35 ms
